Event	ID	Name			Wwise Object Path	Notes
	87346073	Play_UIButtonPress			\Default Work Unit\Play_UIButtonPress	
	111273809	Play_RadioStatic			\Default Work Unit\Play_RadioStatic	
	214722778	Stop_PostGameLoop			\Default Work Unit\Stop_PostGameLoop	
	254988546	Play_NarratorFailstatesGeneric			\Default Work Unit\Play_NarratorFailstatesGeneric	
	275825046	Play_TimeLimitEncroached			\Default Work Unit\Play_TimeLimitEncroached	
	325207657	Play_Failstate			\Default Work Unit\Play_Failstate	
	486258553	Play_RadioTune			\Default Work Unit\Play_RadioTune	
	490760232	Play_NarratorOpeningSpiel			\Default Work Unit\Play_NarratorOpeningSpiel	
	879350003	Play_SignalEasterEgg			\Default Work Unit\Play_SignalEasterEgg	
	890527358	Stop_MainMenu			\Default Work Unit\Stop_MainMenu	
	912900294	Play_VictoryStates			\Default Work Unit\Play_VictoryStates	
	1009772479	Play_FlagMovement			\Default Work Unit\Play_FlagMovement	
	1095134312	Play_CreditsLinearTrack			\Default Work Unit\Play_CreditsLinearTrack	
	1263542987	Stop_Failstate			\Default Work Unit\Stop_Failstate	
	1555505824	Stop_SurrealSidearea			\Default Work Unit\Stop_SurrealSidearea	
	1706214345	Stop_StartMenu			\Default Work Unit\Stop_StartMenu	
	1742114718	Play_SurrealSideareaAmbience			\Default Work Unit\Play_SurrealSideareaAmbience	
	1840458750	Play_NarratorFailstatesUnique			\Default Work Unit\Play_NarratorFailstatesUnique	
	1856429970	Play_PlayerMovement			\Default Work Unit\Play_PlayerMovement	
	1954379557	Play_FailstatesUnique			\Default Work Unit\Play_FailstatesUnique	
	2347920114	Play_SurrealSidearea			\Default Work Unit\Play_SurrealSidearea	
	2413032451	Play_AmbientBackgroundTrack			\Default Work Unit\Play_AmbientBackgroundTrack	
	2506047283	Play_StartMenu			\Default Work Unit\Play_StartMenu	
	2533209057	Stop_VictoryState			\Default Work Unit\Stop_VictoryState	
	2556779295	Play_OutcomeDetermined			\Default Work Unit\Play_OutcomeDetermined	
	2584695725	Play_NarratorVictory			\Default Work Unit\Play_NarratorVictory	
	2721547705	Play_UIMenuOpen			\Default Work Unit\Play_UIMenuOpen	
	2742666833	Stop_AmbientBackgroundTrack			\Default Work Unit\Stop_AmbientBackgroundTrack	
	2784339999	Play_FootstepsSurreal			\Default Work Unit\Play_FootstepsSurreal	
	2980176615	Play_FailstatesGeneric			\Default Work Unit\Play_FailstatesGeneric	
	3144204552	Play_PostGameLoop			\Default Work Unit\Play_PostGameLoop	
	3144544310	Play_SignalReply			\Default Work Unit\Play_SignalReply	
	3198155892	Play_TrainAmbience			\Default Work Unit\Play_TrainAmbience	
	3248956541	Play_PlayerWhistle			\Default Work Unit\Play_PlayerWhistle	
	3341881174	Play_RadioOff			\Default Work Unit\Play_RadioOff	
	3365971806	Stop_CreditsLinearTrack			\Default Work Unit\Stop_CreditsLinearTrack	
	3556569624	Play_RadioOn			\Default Work Unit\Play_RadioOn	
	3557806995	Play_NarratorTimeLimit			\Default Work Unit\Play_NarratorTimeLimit	
	3660888992	Play_SignalChat			\Default Work Unit\Play_SignalChat	
	3738780720	Play_MainMenu			\Default Work Unit\Play_MainMenu	
	3793605367	Play_NunChat			\Default Work Unit\Play_NunChat	
	3842316220	Stop_TimeLimitEncroached			\Default Work Unit\Stop_TimeLimitEncroached	
	3969558047	Play_UIMenuClose			\Default Work Unit\Play_UIMenuClose	
	4035166615	Play_VictoryState			\Default Work Unit\Play_VictoryState	
	4217241938	Play_UIButtonHover			\Default Work Unit\Play_UIButtonHover	

